name,nationality,id number bassbort number,permition number,hamla name,emage url,barcode url
adel,saudi,1000000001,111,y,C:/Users/t430/Desktop/Dataset/images/Training/1,C:/Users/t430/Desktop/Dataset/barcodes/1
aymen,indian,7689900,222,t,C:/Users/t430/Desktop/Dataset/images/Training/2,C:/Users/t430/Desktop/Dataset/barcodes/2
feras,eygption,3445679,333,b,C:/Users/t430/Desktop/Dataset/images/Training/3,C:/Users/t430/Desktop/Dataset/barcodes/3
abdulaaah,packistani,234567,444,h,C:/Users/t430/Desktop/Dataset/images/Training/4,C:/Users/t430/Desktop/Dataset/barcodes/4
abdulaziz,saudi,1000000002,555,n,C:/Users/t430/Desktop/Dataset/images/Training/5,C:/Users/t430/Desktop/Dataset/barcodes/5
sami,libanon,y56777,666,m,C:/Users/t430/Desktop/Dataset/images/Training/6,C:/Users/t430/Desktop/Dataset/barcodes/6
ehkam,indian,679554,777,x,C:/Users/t430/Desktop/Dataset/images/Training/7,C:/Users/t430/Desktop/Dataset/barcodes/7
rayan,saudi,1000000003,888,c,C:/Users/t430/Desktop/Dataset/images/Training/8,C:/Users/t430/Desktop/Dataset/barcodes/8
smeer,saudi,10000000064,999,z,C:/Users/t430/Desktop/Dataset/images/Training/9,C:/Users/t430/Desktop/Dataset/barcodes/9
maha,saudi,10000000007,213,a,C:/Users/t430/Desktop/Dataset/images/Training/10,C:/Users/t430/Desktop/Dataset/barcodes/10
mona,saudi,1000000009,324,s,C:/Users/t430/Desktop/Dataset/images/Training/11,C:/Users/t430/Desktop/Dataset/barcodes/11
khaled,kuwaiti,6789005443,435,d,C:/Users/t430/Desktop/Dataset/images/Training/12,C:/Users/t430/Desktop/Dataset/barcodes/12
latifa,morocan,66890444,546,f,C:/Users/t430/Desktop/Dataset/images/Training/13,C:/Users/t430/Desktop/Dataset/barcodes/13
haya,jordian,39862345,657,g,C:/Users/t430/Desktop/Dataset/images/Training/14,C:/Users/t430/Desktop/Dataset/barcodes/14
hussain,iraqi,6523456,768,k,C:/Users/t430/Desktop/Dataset/images/Training/15,C:/Users/t430/Desktop/Dataset/barcodes/15
fhadel,eygption,8765540,879,j,C:/Users/t430/Desktop/Dataset/images/Training/16,C:/Users/t430/Desktop/Dataset/barcodes/16
sarah,eygption,98675,989,l,C:/Users/t430/Desktop/Dataset/images/Training/17,C:/Users/t430/Desktop/Dataset/barcodes/17
mariya,eygption,123822,765,p,C:/Users/t430/Desktop/Dataset/images/Training/18,C:/Users/t430/Desktop/Dataset/barcodes/18
nouf,eygption,387650,456,y,C:/Users/t430/Desktop/Dataset/images/Training/19,C:/Users/t430/Desktop/Dataset/barcodes/19
farah,bahrani,789332,345,r,C:/Users/t430/Desktop/Dataset/images/Training/20,C:/Users/t430/Desktop/Dataset/barcodes/20
